"Lab.ID","X14c.date","error","Depth..cm.","cc"
"UBA-34970",3793,39,1140,1
"UBA-35578",6262,38,1180,1
"UBA-34971",6267,48,1210,1
"UBA-35579",8928,47,1360,1
"UBA-35580",5378,35,1474,1
"UBA-33282",6260,38,1675,1
"UBA-35581",6570,35,1785,1
"UBA-35583",6515,35,1826,1
"UBA-35582",6451,38,1940,1
"UBA-35585",6346,43,2068,1
"UBA-35586",7145,39,2285,1
"UBA-35587",7977,51,2435,1
"UBA-34972",8030,41,2450,1
"UBA-34973",7923,39,2500,1
"UBA-34974",7019,40,2539,1
"UBA-34975",6894,36,2641,1
"UBA-35588",7752,52,2670,1
"UBA-21707",8957,44,2910,1
