depth	min	max	median	mean
1140	6686	7004	6858	6853
1141	6689	7005	6859	6854
1142	6690	7006	6860	6855
1143	6692	7006	6861	6856
1144	6693	7007	6861	6857
1145	6694	7007	6863	6858
1146	6695	7009	6864	6859
1147	6697	7010	6865	6860
1148	6698	7011	6866	6862
1149	6699	7012	6867	6863
1150	6700	7013	6869	6864
1151	6701	7014	6870	6865
1152	6703	7015	6870	6866
1153	6704	7015	6871	6867
1154	6705	7017	6872	6868
1155	6707	7017	6874	6869
1156	6708	7018	6875	6870
1157	6709	7019	6876	6871
1158	6711	7020	6877	6872
1159	6712	7021	6878	6873
1160	6713	7022	6879	6874
1161	6714	7023	6880	6875
1162	6716	7024	6881	6876
1163	6717	7025	6882	6877
1164	6719	7025	6883	6878
1165	6720	7026	6884	6879
1166	6722	7027	6885	6880
1167	6722	7027	6886	6881
1168	6724	7028	6887	6883
1169	6725	7030	6888	6884
1170	6726	7031	6889	6885
1171	6727	7031	6890	6886
1172	6729	7032	6891	6887
1173	6731	7033	6893	6888
1174	6732	7033	6893	6889
1175	6733	7034	6894	6890
1176	6734	7035	6895	6891
1177	6735	7036	6896	6892
1178	6736	7037	6897	6893
1179	6737	7037	6898	6894
1180	6737	7038	6899	6895
1181	6739	7039	6900	6896
1182	6740	7040	6901	6896
1183	6741	7040	6902	6897
1184	6742	7041	6902	6898
1185	6743	7042	6903	6899
1186	6744	7043	6904	6900
1187	6745	7044	6905	6901
1188	6746	7045	6906	6902
1189	6747	7046	6906	6903
1190	6747	7046	6907	6904
1191	6748	7047	6908	6905
1192	6749	7047	6909	6906
1193	6749	7048	6910	6907
1194	6751	7049	6911	6908
1195	6753	7050	6912	6909
1196	6754	7050	6913	6910
1197	6755	7051	6913	6910
1198	6755	7052	6914	6911
1199	6756	7053	6915	6912
1200	6756	7054	6916	6913
1201	6757	7054	6917	6914
1202	6758	7055	6918	6915
1203	6759	7056	6919	6916
1204	6760	7057	6920	6917
1205	6760	7058	6920	6918
1206	6760	7059	6921	6919
1207	6761	7059	6922	6919
1208	6762	7060	6923	6920
1209	6763	7061	6924	6921
1210	6763	7061	6924	6922
1211	6764	7062	6925	6923
1212	6765	7063	6926	6924
1213	6765	7064	6926	6925
1214	6766	7065	6927	6925
1215	6767	7066	6928	6926
1216	6768	7067	6929	6927
1217	6769	7067	6930	6928
1218	6770	7068	6931	6929
1219	6770	7068	6932	6930
1220	6772	7069	6933	6930
1221	6772	7070	6934	6931
1222	6772	7071	6934	6932
1223	6774	7072	6935	6933
1224	6774	7073	6936	6934
1225	6776	7073	6937	6935
1226	6778	7074	6937	6935
1227	6779	7075	6938	6936
1228	6779	7075	6939	6937
1229	6780	7077	6940	6938
1230	6781	7078	6941	6939
1231	6782	7078	6942	6940
1232	6783	7078	6942	6940
1233	6783	7079	6944	6941
1234	6785	7080	6944	6942
1235	6786	7081	6945	6943
1236	6787	7082	6946	6944
1237	6788	7083	6947	6944
1238	6789	7083	6948	6945
1239	6790	7084	6948	6946
1240	6791	7085	6949	6947
1241	6793	7086	6950	6948
1242	6795	7087	6951	6948
1243	6796	7087	6952	6949
1244	6796	7088	6952	6950
1245	6798	7089	6953	6951
1246	6799	7090	6954	6952
1247	6800	7090	6955	6953
1248	6801	7091	6956	6953
1249	6802	7092	6957	6954
1250	6803	7093	6957	6955
1251	6804	7094	6959	6956
1252	6805	7094	6960	6957
1253	6807	7095	6960	6957
1254	6807	7095	6961	6958
1255	6807	7096	6962	6959
1256	6808	7097	6963	6960
1257	6808	7097	6964	6961
1258	6808	7098	6965	6961
1259	6809	7099	6966	6962
1260	6810	7100	6967	6963
1261	6811	7101	6967	6964
1262	6813	7102	6968	6965
1263	6813	7102	6969	6966
1264	6814	7103	6969	6966
1265	6815	7104	6970	6967
1266	6816	7105	6971	6968
1267	6817	7106	6972	6969
1268	6818	7107	6973	6970
1269	6819	7108	6973	6971
1270	6820	7109	6974	6971
1271	6820	7110	6975	6972
1272	6821	7110	6976	6973
1273	6822	7111	6977	6974
1274	6822	7112	6978	6975
1275	6824	7113	6979	6975
1276	6824	7114	6980	6976
1277	6825	7114	6981	6977
1278	6826	7115	6982	6978
1279	6826	7116	6982	6979
1280	6827	7116	6983	6980
1281	6828	7117	6984	6980
1282	6829	7118	6985	6981
1283	6831	7119	6985	6982
1284	6832	7119	6986	6983
1285	6833	7120	6987	6984
1286	6834	7121	6988	6985
1287	6834	7122	6989	6985
1288	6835	7123	6990	6986
1289	6835	7124	6991	6987
1290	6837	7125	6991	6988
1291	6837	7126	6992	6989
1292	6838	7126	6993	6990
1293	6839	7127	6994	6991
1294	6840	7127	6994	6991
1295	6841	7128	6996	6992
1296	6842	7129	6997	6993
1297	6843	7129	6998	6994
1298	6844	7130	6999	6995
1299	6844	7130	7000	6996
1300	6845	7131	7001	6996
1301	6846	7132	7001	6997
1302	6847	7132	7002	6998
1303	6849	7133	7003	6999
1304	6850	7134	7004	7000
1305	6851	7135	7004	7001
1306	6851	7137	7005	7001
1307	6852	7137	7006	7002
1308	6854	7137	7007	7003
1309	6854	7139	7008	7004
1310	6855	7140	7008	7005
1311	6857	7140	7009	7006
1312	6858	7141	7010	7006
1313	6859	7142	7011	7007
1314	6860	7143	7011	7008
1315	6861	7144	7012	7009
1316	6861	7144	7013	7010
1317	6862	7145	7014	7010
1318	6863	7146	7015	7011
1319	6864	7146	7016	7012
1320	6864	7147	7017	7013
1321	6865	7148	7017	7014
1322	6866	7149	7018	7015
1323	6867	7149	7019	7015
1324	6869	7150	7020	7016
1325	6870	7151	7021	7017
1326	6871	7152	7022	7018
1327	6871	7152	7022	7019
1328	6873	7153	7023	7020
1329	6873	7154	7024	7020
1330	6874	7155	7025	7021
1331	6876	7156	7026	7022
1332	6876	7157	7027	7023
1333	6878	7158	7027	7024
1334	6879	7158	7028	7025
1335	6880	7159	7029	7025
1336	6881	7160	7030	7026
1337	6881	7160	7031	7027
1338	6883	7161	7032	7028
1339	6883	7162	7032	7029
1340	6884	7162	7033	7030
1341	6885	7163	7034	7031
1342	6886	7163	7035	7031
1343	6886	7164	7036	7032
1344	6887	7165	7037	7033
1345	6888	7165	7038	7034
1346	6888	7166	7039	7035
1347	6889	7167	7040	7036
1348	6890	7167	7040	7036
1349	6892	7168	7041	7037
1350	6893	7169	7042	7038
1351	6895	7170	7043	7039
1352	6896	7171	7045	7040
1353	6897	7171	7045	7041
1354	6897	7172	7046	7042
1355	6897	7173	7047	7042
1356	6900	7174	7047	7043
1357	6901	7175	7048	7044
1358	6902	7176	7049	7045
1359	6902	7177	7050	7046
1360	6903	7178	7051	7047
1361	6904	7178	7052	7047
1362	6905	7179	7052	7048
1363	6906	7180	7053	7049
1364	6907	7180	7054	7050
1365	6908	7181	7055	7051
1366	6908	7181	7056	7052
1367	6909	7182	7057	7052
1368	6910	7182	7057	7053
1369	6911	7183	7058	7054
1370	6911	7183	7059	7055
1371	6912	7184	7060	7056
1372	6912	7185	7060	7057
1373	6913	7185	7061	7058
1374	6915	7186	7062	7058
1375	6915	7187	7063	7059
1376	6916	7187	7064	7060
1377	6917	7189	7065	7061
1378	6918	7189	7066	7062
1379	6918	7190	7067	7063
1380	6920	7191	7068	7063
1381	6921	7192	7069	7064
1382	6921	7193	7069	7065
1383	6922	7193	7070	7066
1384	6923	7194	7071	7067
1385	6923	7195	7071	7068
1386	6925	7196	7072	7068
1387	6925	7196	7073	7069
1388	6926	7197	7074	7070
1389	6926	7198	7075	7071
1390	6927	7200	7076	7072
1391	6929	7200	7076	7072
1392	6930	7201	7077	7073
1393	6931	7202	7078	7074
1394	6933	7203	7079	7075
1395	6934	7204	7079	7076
1396	6936	7205	7080	7076
1397	6937	7206	7081	7077
1398	6937	7206	7082	7078
1399	6939	7207	7082	7079
1400	6939	7208	7083	7080
1401	6940	7209	7084	7080
1402	6941	7210	7085	7081
1403	6942	7210	7085	7082
1404	6944	7211	7086	7083
1405	6944	7211	7087	7084
1406	6945	7212	7088	7085
1407	6945	7212	7089	7085
1408	6947	7213	7090	7086
1409	6948	7214	7090	7087
1410	6949	7215	7091	7088
1411	6949	7216	7092	7089
1412	6950	7216	7093	7090
1413	6951	7217	7093	7090
1414	6952	7217	7094	7091
1415	6953	7218	7095	7092
1416	6954	7219	7096	7093
1417	6955	7220	7097	7094
