"Name","Date","Uncertainty"
1,7471,90
2,7807,90
3,7809,90
4,7809,90
5,7848,90
6,8159,90
7,8960,90
8,6480,90
12,7175,90
15,7730,90
16,7744,90
17,7959,90
18,8083,90
19,8745,90
20,8166,90
21,8619,90
22,8620,90
23,8685,90
24,8785,90
35,7060,90
36,7600,90
37,6627,90
41,8520,90
97,6610,90
98,7800,90
99,8100,90
100,8400,90
110,7870,90
115,7700,90
116,6220,90
132,7700,90
133,7920,90
134,8940,90
135,8970,90
168,8820,90
169,9370,90
185,7300,90
186,7310,90
187,7600,90
188,8300,90
189,8560,90
228,6810,90
233,7760,90
241,7000,90
242,7112,90
244,8130,90
247,7230,90
248,7620,90
249,8380,90
250,8650,90
251,7050,90
252,8650,90
256,9100,100
257,9330,100
258,9490,100
259,7000,60
263,7860,90
264,8040,90
265,8160,90
266,8750,90
267,8960,90
268,9120,90
269,6000,90
270,6460,90
271,6500,90
272,7280,90
273,7660,90
274,7870,90
275,8140,90
276,8270,90
277,8520,90
278,9110,90
279,9300,90
280,8608,90
281,8619,90
282,8699,90
285,8260,90
286,6930,90
293,6410,90
294,6510,90
295,6620,90
296,8045,90
297,8060,90
298,8110,90
299,8250,90
300,8350,90
301,9436,90
302,9436,90
313,7713,90
314,7809,90
315,7871,90
316,7910,90
317,8330,90
318,9030,90
319,9180,90
320,9300,90
321,7463,90
322,8135,90
323,8735,90
324,8782,90
325,8875,90
326,8878,90
327,8991,90
328,9076,90
329,8240,90
330,8290,90
331,7540,90
332,9320,90
333,9530,90
334,7998,90
335,8320,90
336,8467,90
337,9332,90
338,8600,90
340,6340,140
341,8110,80
342,9140,70
343,9370,80
359,9050,90
387,7740,90
388,7920,90
392,7400,90
397,7380,90
398,8590,90
399,8840,120
400,8590,90
401,8780,110
402,8780,110
403,8840,120
404,9220,100
405,9420,90
406,7460,90
407,9370,150
416,8160,90
446,6790,90
447,6870,90
448,7850,90
449,7870,90
452,7500,90
453,8220,90
454,8540,90
455,9020,90
457,6620,90
458,6624,90
459,6970,90
460,7045,90
461,7160,90
462,7400,90
463,7420,90
464,7570,90
465,7620,90
466,7800,90
467,8024,90
471,8823,40
472,8885,65
502,8880,90
520,6005,90
521,6170,90
522,6210,90
523,6210,90
524,6380,90
525,6410,90
528,7091,90
535,7440,90
536,8260,90
537,8380,90
538,7425,90
539,7630,90
540,7670,90
541,8260,90
544,7930,90
545,8050,90
546,8115,90
547,8135,90
548,8225,90
549,8275,90
550,8315,90
551,8335,90
552,8415,90
553,8965,90
573,6414,90
574,7633,90
575,8585,90
576,8800,90
577,6960,90
589,8460,90
590,8700,90
591,7480,100
592,7540,90
593,7950,90
594,8530,90
595,8830,90
596,8950,90
597,9080,90
598,9130,90
599,9200,90
600,7030,90
612,7330,85
613,8080,90
614,8450,90
615,8780,90
616,8890,90
617,8990,90
624,8688,90
625,9377,90
639,9020,90
640,9035,90
641,9070,90
670,8565,80
671,6870,90
672,8200,90
673,8240,90
674,9320,90
677,7500,90
678,7800,90
679,7850,90
680,8140,90
681,8220,90
682,8560,90
683,8590,90
684,8740,90
685,9090,90
686,9100,90
687,9200,90
688,9420,90
689,9490,90
690,7250,90
691,7540,90
692,7585,90
693,7740,90
694,7810,90
695,7810,90
696,7860,90
697,7860,90
698,8000,90
699,9458,91
702,6968,90
703,7283,90
704,7725,90
705,7902,90
706,7971,90
707,8193,90
708,8323,90
709,8509,90
710,8847,90
716,7127,90
717,7678,90
718,7860,90
758,6229,90
759,6432,90
760,8963,90
781,9140,90
788,8080,90
789,8190,90
790,8350,90
791,8410,90
792,8780,90
793,8358,90
794,8512,90
804,7840,90
852,9410,90
