"Name","Date","Uncertainty"
9,7020,90
10,6985,90
11,7173,90
13,7410,90
14,7413,90
25,6064,90
26,6255,90
27,6320,90
28,6370,90
29,6400,90
30,6420,90
31,6430,90
32,6430,90
33,6280,90
34,6710,90
38,6030,90
39,6430,90
40,6650,90
42,6029,90
43,6095,90
44,6105,90
45,6118,90
46,6155,90
47,6240,90
48,6315,90
49,6318,90
50,6447,90
51,6470,90
52,6669,90
53,6670,90
54,6675,90
55,6678,90
56,6770,90
57,6825,90
58,6830,90
59,6000,90
60,6000,90
61,6010,90
62,6010,90
63,6050,90
64,6070,90
65,6090,90
66,6090,90
67,6135,90
68,6140,90
69,6145,90
70,6150,90
71,6205,90
72,6220,90
73,6220,90
74,6230,90
75,6240,90
76,6271,90
77,6345,90
78,6350,90
79,6370,90
80,6446,90
81,6487,90
82,6490,90
83,6623,90
84,6700,90
85,6700,90
86,6750,90
87,6751,90
88,6778,90
89,6830,90
90,6834,90
91,6861,90
92,6864,90
93,6870,90
94,6880,90
95,6910,90
96,6980,90
101,6140,90
102,6280,90
103,6400,90
104,6420,90
105,6470,90
106,6010,90
107,6015,90
108,6050,90
109,6280,90
111,6148,90
112,6523,90
113,6565,90
114,6602,90
117,6170,90
118,6280,90
119,6390,90
120,6065,90
121,6430,90
122,6219,90
123,6146,90
124,6490,90
125,6170,90
126,6235,90
127,6090,90
128,6090,90
129,6122,90
130,6127,90
131,6190,90
136,6080,90
137,6040,90
138,6270,90
139,6810,90
140,6189,90
141,6312,90
142,6340,90
143,6310,90
144,6580,90
145,6476,90
146,6000,90
147,6040,90
148,6080,90
149,6120,90
150,6125,90
151,6130,90
152,6180,90
153,6290,90
154,6330,90
155,6330,90
156,6350,90
157,6410,90
158,6480,90
159,6585,90
160,6180,90
161,6415,90
162,6230,90
163,6240,90
164,6000,90
165,6375,90
166,6410,90
167,6460,90
170,6158,90
171,6149,90
172,6575,90
173,6579,90
174,6651,90
175,6688,90
176,6718,90
177,6727,90
178,6770,90
179,6809,90
180,6823,90
181,6843,90
182,6850,90
183,6880,90
184,6040,90
190,6035,90
191,6178,90
192,6290,90
193,6334,90
194,6341,90
195,6417,90
196,6540,90
197,6551,90
198,6570,90
199,6630,90
200,6630,90
201,6650,90
202,6650,90
203,6670,90
204,6740,90
205,6741,90
206,6990,90
207,6090,90
208,6130,90
209,6184,90
210,6225,90
211,6311,90
212,6100,90
213,6280,90
214,6320,90
215,6050,90
216,6483,90
217,6540,90
218,6545,90
219,6548,90
220,6570,90
221,6793,90
222,6860,90
223,6890,90
224,6910,90
225,6940,90
226,6956,90
227,7003,90
229,6120,90
230,6470,90
231,6515,90
232,6615,90
234,6540,90
235,6690,90
236,6490,90
237,6380,90
238,6540,90
239,6570,90
240,6594,90
243,6840,90
245,6372,90
246,6450,90
253,6170,90
254,6570,90
255,6590,90
260,6260,90
261,6490,90
262,6690,90
283,6290,90
284,6300,90
287,6247,90
288,6200,90
289,6080,90
290,6490,90
291,6510,90
292,6390,90
303,6286,90
304,6310,90
305,6310,90
306,6351,90
307,6446,90
308,6720,90
309,6750,90
310,7006,90
311,7036,90
312,7051,90
339,6860,90
344,6555,90
345,6710,90
346,6072,90
347,6000,90
348,6152,90
349,6275,90
350,6405,90
351,6505,90
352,6000,90
353,6050,90
354,6580,90
355,6950,90
356,6200,90
357,6250,90
358,6430,90
360,6261,90
361,6808,90
362,6120,90
363,6290,90
364,6290,90
365,6303,90
366,6324,90
367,6329,90
368,6330,90
369,6339,90
370,6347,90
371,6347,90
372,6348,90
373,6368,90
374,6371,90
375,6381,90
376,6384,90
377,6384,90
378,6398,90
379,6400,90
380,6410,90
381,6411,90
382,6448,90
383,6490,90
384,6530,90
385,6720,90
386,6400,90
389,6400,90
390,6680,90
391,6830,90
393,6345,90
394,6375,90
395,6020,90
396,6120,90
408,6004,90
409,6040,90
410,6045,90
411,6065,90
412,6247,90
413,6183,90
414,6290,90
415,6991,90
417,6010,90
418,6000,90
419,6189,90
420,6310,90
421,6350,90
422,6350,90
423,6370,90
424,6414,90
425,6437,90
426,6487,90
427,6494,90
428,6498,90
429,6530,90
430,6550,90
431,6565,90
432,6590,90
433,6594,90
434,6600,90
435,6622,90
436,6627,90
437,6852,90
438,6855,90
439,6874,90
440,6130,90
441,6165,90
442,6320,90
443,6385,90
444,6562,90
445,6038,90
450,6700,90
451,6790,90
456,6542,90
468,6492,90
469,6637,90
470,6769,90
473,6325,90
474,6650,90
475,6090,90
476,6134,90
477,6161,90
478,6210,90
479,6217,90
480,6223,90
481,6246,90
482,6272,90
483,6327,90
484,6356,90
485,6524,90
486,6131,90
487,6131,90
488,6161,90
489,6212,90
490,6213,90
491,6262,90
492,6262,90
493,6335,90
494,6335,90
495,6585,90
496,6626,90
497,6170,90
498,6440,90
499,6580,90
500,6637,90
501,6638,90
503,6000,90
504,6290,90
505,6570,90
506,6590,90
507,6250,90
508,6200,90
509,6450,90
510,6501,90
511,6510,90
512,6510,90
513,6555,90
514,6601,90
515,6605,90
516,6638,90
517,6640,90
518,6800,90
519,7124,90
526,6100,90
527,6180,90
529,6450,90
530,6125,90
531,6240,90
532,6290,90
533,6350,90
534,6470,90
542,6168,90
543,6624,90
554,6210,90
555,6280,90
556,6540,90
557,6212,90
558,6222,90
559,6110,90
560,6146,90
561,6231,90
562,6263,90
563,6397,90
564,6210,90
565,6440,90
566,6097,90
567,6352,90
568,6442,90
569,6600,90
570,6780,90
571,6561,90
572,6576,90
578,6140,90
579,6069,90
580,6077,90
581,6106,90
582,6106,90
583,6112,90
584,6127,90
585,6340,90
586,6340,90
587,6410,90
588,6580,90
601,6447,90
602,6680,90
603,6930,90
604,6060,90
605,6091,90
606,6240,90
607,6280,90
608,6330,90
609,6410,90
610,6751,90
611,6130,90
618,6015,90
619,6040,90
620,6092,90
621,6095,90
622,6060,90
623,6320,90
626,6465,90
627,6739,90
628,6647,90
629,6673,90
630,6734,90
631,6916,90
632,6076,90
633,6378,90
634,6418,90
635,6500,90
636,6500,90
637,6500,90
638,6555,90
642,6210,90
643,6651,90
644,6764,90
645,6983,90
646,7134,90
647,6095,90
648,6290,90
649,6525,90
650,6769,90
651,6530,90
652,6760,90
653,6900,90
654,7110,90
655,6530,90
656,6422,90
657,6020,90
658,6051,90
659,6230,90
660,6266,90
661,6790,90
662,6860,90
663,6890,90
664,6910,90
665,6988,90
666,6140,90
667,6210,90
668,6260,90
669,6260,90
675,6060,90
676,6480,90
700,6030,90
701,6550,90
711,6060,90
712,6070,90
713,6675,90
714,6760,90
715,6767,90
719,6325,90
720,6652,90
721,6652,90
722,6000,90
723,6027,90
724,6028,90
725,6059,90
726,6060,90
727,6063,90
728,6110,90
729,6120,90
730,6128,90
731,6129,90
732,6170,90
733,6231,90
734,6513,90
735,6525,90
736,6535,90
737,6570,90
738,6245,90
739,6270,90
740,6430,90
741,6120,90
742,6277,90
743,6335,90
744,6530,90
745,6980,90
746,6072,90
747,6520,90
748,6151,33
749,6171,41
750,6172,39
751,6175,61
752,6181,40
753,6193,48
754,6239,37
755,6267,40
756,6409,38
757,6412,44
761,6310,90
762,6316,90
763,6327,90
764,6040,90
765,6320,90
766,6600,90
767,6810,90
768,6540,90
769,7000,90
770,6410,90
771,6679,90
772,6762,90
773,6785,90
774,6005,51
775,6035,54
776,6140,160
777,6158,51
778,6075,90
779,6420,90
780,6480,90
782,6000,90
783,6065,90
784,6260,90
785,6630,90
786,6370,90
787,6440,90
795,6327,90
796,6341,90
797,6359,90
798,6870,90
799,6670,90
800,6116,90
801,6486,90
802,6593,90
803,6900,90
805,6590,90
806,6860,90
807,6890,90
808,6960,90
809,6960,90
810,6060,90
811,6301,90
812,6612,90
813,6614,90
814,6632,90
815,6644,90
816,6683,90
817,6660,90
818,6710,90
819,6710,90
820,6730,90
821,6730,90
822,6760,90
823,6790,90
824,6810,90
825,6810,90
826,6830,90
827,6835,90
828,6840,90
829,6935,90
830,6940,90
831,6950,90
832,6950,90
833,6950,90
834,6950,90
835,6980,90
836,7030,90
837,6011,90
838,6130,90
