"Name","Date","Uncertainty"
8,6480,90
35,6627,90
95,6610,90
96,7800,90
97,8100,90
98,8400,90
108,7870,90
114,6220,90
166,8820,90
167,9370,90
226,6810,90
239,7000,90
240,7112,90
245,7230,90
246,7620,90
247,8380,90
248,8650,90
249,7050,90
250,8650,90
267,6000,90
268,6460,90
269,6500,90
270,7280,90
271,7660,90
272,7870,90
273,8140,90
274,8270,90
275,8520,90
276,9110,90
277,9300,90
283,8260,90
284,6930,90
291,6410,90
292,6510,90
293,6620,90
294,8045,90
295,8060,90
296,8110,90
297,8250,90
298,8350,90
413,8160,90
443,6790,90
444,6870,90
445,7850,90
446,7870,90
449,7500,90
450,8220,90
451,8540,90
452,9020,90
454,6620,90
455,6624,90
499,8880,90
517,6005,90
518,6170,90
519,6210,90
520,6210,90
521,6380,90
522,6410,90
525,7091,90
532,7440,90
533,8260,90
534,8380,90
535,7425,90
536,7630,90
537,7670,90
538,8260,90
570,6414,90
571,7633,90
572,8585,90
573,8800,90
574,6960,90
589,7540,90
590,7950,90
591,8530,90
592,8830,90
593,8950,90
594,9080,90
595,9130,90
596,9200,90
597,7030,90
621,8688,90
622,9377,90
668,6870,90
669,8200,90
670,8240,90
671,9320,90
674,7500,90
675,7800,90
676,7850,90
677,8140,90
678,8220,90
679,8560,90
680,8590,90
681,8740,90
682,9090,90
683,9100,90
684,9200,90
685,9420,90
686,9490,90
687,7250,90
688,7540,90
689,7585,90
690,7740,90
691,7810,90
692,7810,90
693,7860,90
694,7860,90
695,8000,90
699,6968,90
700,7283,90
701,7725,90
702,7902,90
703,7971,90
704,8193,90
705,8323,90
706,8509,90
707,8847,90
849,9410,90
