"Name","Date","Uncertainty"
1,7471,90
2,7807,90
3,7809,90
4,7809,90
5,7848,90
6,8159,90
7,8960,90
12,7175,90
15,7730,90
16,7744,90
17,7959,90
18,8083,90
19,8745,90
20,8166,90
22,8620,90
23,8685,90
24,8785,90
35,7060,90
36,7600,90
280,8608,90
281,8619,90
282,8699,90
301,9436,90
302,9436,90
311,7036,90
312,7051,90
313,7713,90
314,7809,90
315,7871,90
316,7910,90
317,8330,90
318,9030,90
319,9180,90
320,9300,90
334,7998,90
335,8320,90
336,8467,90
337,9332,90
338,8600,90
588,8460,90
589,8700,90
863,9395,45
864,8653,39
