"Name","Date","Uncertainty"
135,6040,90
136,6270,90
137,6810,90
144,6000,90
145,6040,90
146,6080,90
147,6120,90
148,6125,90
149,6130,90
150,6180,90
151,6290,90
152,6330,90
153,6330,90
154,6350,90
155,6410,90
156,6480,90
157,6585,90
163,6375,90
164,6410,90
165,6460,90
168,6158,90
169,6149,90
170,6575,90
171,6579,90
172,6651,90
173,6688,90
174,6718,90
175,6727,90
176,6770,90
177,6809,90
178,6823,90
179,6843,90
208,6225,90
209,6311,90
236,6540,90
243,6372,90
244,6450,90
251,6170,90
252,6570,90
253,6590,90
285,6247,90
287,6080,90
337,6860,90
344,6000,90
345,6152,90
346,6275,90
347,6405,90
348,6505,90
416,6189,90
417,6310,90
418,6350,90
419,6350,90
420,6370,90
421,6414,90
422,6437,90
423,6487,90
424,6494,90
425,6498,90
426,6530,90
427,6550,90
428,6565,90
429,6590,90
430,6594,90
431,6600,90
432,6622,90
433,6627,90
434,6852,90
435,6855,90
436,6874,90
465,6492,90
466,6637,90
467,6769,90
495,6440,90
496,6580,90
497,6637,90
498,6638,90
500,6000,90
501,6290,90
502,6570,90
503,6590,90
504,6250,90
523,6100,90
524,6180,90
539,6168,90
540,6624,90
559,6263,90
560,6397,90
561,6210,90
585,6580,90
598,6447,90
599,6680,90
625,6647,90
626,6673,90
627,6734,90
628,6916,90
629,6076,90
630,6378,90
631,6418,90
632,6500,90
633,6500,90
634,6500,90
635,6555,90
658,6790,90
659,6860,90
663,6140,90
664,6210,90
665,6260,90
666,6260,90
735,6245,90
736,6270,90
737,6430,90
738,6120,90
797,6116,90
798,6486,90
799,6593,90
855,6578,90
