"Name","Date","Uncertainty"
34,6710,90
111,6148,90
112,6523,90
113,6565,90
114,6602,90
121,6430,90
136,6080,90
160,6180,90
161,6415,90
182,6850,90
183,6880,90
190,6035,90
191,6178,90
192,6290,90
193,6334,90
194,6341,90
195,6417,90
196,6540,90
197,6551,90
198,6570,90
199,6630,90
200,6630,90
201,6650,90
202,6650,90
203,6670,90
204,6740,90
205,6741,90
206,6990,90
221,6793,90
222,6860,90
223,6890,90
224,6910,90
225,6940,90
226,6956,90
227,7003,90
236,6490,90
239,6570,90
240,6594,90
343,6555,90
345,6072,90
359,6261,90
360,6808,90
361,6120,90
362,6290,90
363,6290,90
364,6303,90
365,6324,90
366,6329,90
367,6330,90
368,6339,90
369,6347,90
370,6347,90
371,6348,90
372,6368,90
373,6371,90
374,6381,90
375,6384,90
376,6384,90
377,6398,90
378,6400,90
379,6410,90
380,6411,90
381,6448,90
382,6490,90
383,6530,90
384,6720,90
385,6400,90
392,6345,90
393,6375,90
394,6020,90
395,6120,90
441,6320,90
442,6385,90
443,6562,90
449,6700,90
450,6790,90
455,6542,90
507,6200,90
508,6450,90
509,6501,90
510,6510,90
511,6510,90
512,6555,90
513,6601,90
514,6605,90
515,6638,90
516,6640,90
517,6800,90
518,7124,90
553,6210,90
554,6280,90
555,6540,90
566,6352,90
567,6442,90
568,6600,90
569,6780,90
570,6561,90
571,6576,90
577,6140,90
584,6340,90
585,6340,90
586,6410,90
602,6930,90
625,6465,90
626,6739,90
642,6651,90
643,6764,90
644,6983,90
645,7134,90
650,6530,90
651,6760,90
652,6900,90
653,7110,90
654,6530,90
662,6890,90
663,6910,90
664,6988,90
741,6277,90
743,6530,90
744,6980,90
745,6072,90
746,6520,90
757,6229,90
758,6432,90
763,6040,90
764,6320,90
765,6600,90
766,6810,90
767,6540,90
768,7000,90
769,6410,90
770,6679,90
771,6762,90
772,6785,90
797,6870,90
802,6900,90
804,6590,90
805,6860,90
806,6890,90
807,6960,90
808,6960,90
809,6060,90
810,6301,90
811,6612,90
812,6614,90
813,6632,90
814,6644,90
815,6683,90
816,6660,90
817,6710,90
818,6710,90
819,6730,90
820,6730,90
821,6760,90
822,6790,90
823,6810,90
824,6810,90
825,6830,90
826,6835,90
827,6840,90
828,6935,90
829,6940,90
830,6950,90
831,6950,90
832,6950,90
833,6950,90
834,6980,90
835,7030,90
838,6190,90
839,6432,90
840,6448,90
841,6452,90
842,6469,90
843,6484,90
844,6526,90
845,6620,90
846,6750,90
855,6750,90
856,6850,90
