"sample_number","context","phase","subphase","c14_age","c14_err"
59206,101,"iv","a",7361.79,27.24
54761,23,"iv","a",7014.32,33.60
54762,23,"iv","a",7047.82,32.26
54765,34,"v","b",7096.34,34.22
54768,28,"iv","b",6997.49,32.30
54771,38,"v","c",7058.18,32.91
54774,29,"iii","c",7041.16,32.08
54775,26,"iv","a",6925.08,32.49
54776,61,"vi","c",6408.93,32.32
54778,18,"iii","a",6916.11,33.94
54779,25,"iii","b",5510.29,29.78
54780,48,"v","d",6998.44,34.70
54781,37,"iii","c",6870.66,35.16
61860,11,"ii","d",2221.78,21.21
61850,11,"ii","d",2223.71,17.45
61852,90,"iv","a",2271.19,17.21
61863,89,"iv","a",2397.54,20.98
61853,90,"iv","a",2466.41,17.30
61865,8,"ii","c",2534.63,21.17
61847,77,"ii","b",3152.58,26.23
61862,89,"iv","a",5390.38,24.20
61848,87,"ii","b",6362.54,19.36
61858,81,"iii","a",6638.68,26.18
61849,73,"iii","a",6827.42,21.21
61866,88,"ii","c",6836.34,26.72
61845,NA,NA,NA,6873.77,27.38
61859,68,"ii","f",6902.03,26.90
61846,104,"v","a",6908.46,21.42
61856,90,"iv","a",6916.12,26.70
61851,29,"iii","c",6917.91,21.52
61861,19,"iii","a",6929.35,27.05
61857,25,"iii","b",6956.16,26.64
61855,95,"iv","a",6963.50,27.08
61854,31,"iii","c",6983.67,26.13
61864,66,"vi","d",15186.93,101.87
