name,phase_rom,order,type,phase_num
VIA_st,VIA,1,boundary,6a
62551,VIc,2,event,6a
VA_st,VA,3,boundary,5a
62546,VA,4,event,5a
62547,VA,5,event,5a
54769,VA,6,event,5a
62548,VA,7,event,5a
62549,VA,8,event,5a
=IV_st,IV,9,boundary,4
VIB_st,VIB,10,boundary,6b
65879,VIB,11,event,6b
65863,VIB,12,event,6b
65874,VIB,13,event,6b
65869,VIB,14,event,6b
65868,VIB,15,event,6b
65864,VIB,16,event,6b
65865,VIB,17,event,6b
65867,VIB,18,event,6b
65866,VIB,19,event,6b
VB_st,VB,20,boundary,5b
54771,VB,21,event,5b
54765,VB,22,event,5b
62553,VB,23,event,5b
62552,VB,24,event,5b
54780,VB,25,event,5b
65878,VB,26,event,5b
71688,VB,27,event,5b
65862,VB,28,event,5b
65877,VB,29,event,5b
IV_st,IV,30,boundary,4
54768,IV,31,event,4
61846,IV,32,event,4
IIIA_st,III,33,boundary,3a
61851,III,34,event,3a
54774,III,35,event,3a
61854,III,36,event,3a
54781,III,37,event,3a
IIIB_st,III,38,boundary,3b
61861,III,39,event,3b
61857,III,40,event,3b
54779,III,41,event,3b
IIIB_en,III,42,boundary,3b
