"Depth","Mean","L05","U95"
1140,4215.333,4103,4372.1
1145,4272.418,4137.95,4442
1150,4314.724,4165.95,4511.3
1155,4352.766,4183.9,4568.05
1160,4389.672,4202.95,4629
1165,4426.744,4218.95,4682.05
1170,4464.618,4238.85,4737.15
1175,4505.623,4258,4819.1
1180,4558.559,4281,4899.1
1185,4615.674,4330,4950.05
1190,4660.518,4366.8,5005.15
1195,4703.655,4403.9,5067
1200,4747.027,4428.65,5126.1
1205,4792.025,4452.55,5186.05
1210,4845.299,4492,5257.15
1215,4898.832,4540,5327.3
1220,4933.612,4569.95,5375.05
1225,4963.273,4590,5395.2
1230,4991.302,4608.95,5431.2
1235,5016.731,4626.8,5454
1240,5040.59,4648.95,5485.05
1245,5062.827,4668.85,5516.1
1250,5085.191,4681.85,5528.05
1255,5106.218,4698.9,5544.2
1260,5127.147,4712.95,5551.1
1265,5147.671,4731.95,5569.1
1270,5167.853,4747.85,5585.1
1275,5188.483,4756.9,5599.1
1280,5208.525,4768.65,5627.1
1285,5228.455,4782.9,5639.2
1290,5247.809,4793.8,5645.1
1295,5267.838,4806.9,5666.3
1300,5286.846,4827.7,5698.15
1305,5307.713,4850.8,5711.25
1310,5328.127,4867,5727.15
1315,5348.572,4886.75,5748
1320,5369.649,4903.8,5771.15
1325,5391.174,4929,5791.05
1330,5413.285,4959,5804.05
1335,5435.368,4983.95,5823.05
1340,5459.933,5028.45,5847.35
1345,5486.468,5052.95,5876.05
1350,5516.848,5089.95,5896.15
1355,5554.03,5125.55,5929
1360,5608.931,5167.9,5976
1365,5659.407,5263.9,6006.15
1370,5692.259,5311.75,6021.2
1375,5718.867,5342.95,6040
1380,5743.072,5378.9,6057
1385,5765.121,5401.95,6072
1390,5786.546,5426.7,6090
1395,5807.287,5448.95,6100.05
1400,5827.136,5475,6112.05
1405,5847.064,5506.85,6123
1410,5865.692,5519,6130
1415,5884.998,5535.9,6140
1420,5905.006,5580.75,6149.05
1425,5924.598,5613.6,6156.15
1430,5944.116,5639.85,6165.1
1435,5964.219,5673.85,6171.05
1440,5984.484,5719.9,6183.05
1445,6005.554,5748.95,6193
1450,6027.564,5774.95,6204
1455,6050.053,5817,6215
1460,6074.536,5863,6228
1465,6101.218,5915,6240.05
1470,6133.232,5978.95,6254
1475,6188.926,6036,6292.05
1480,6239.002,6064.95,6434.2
1485,6273.892,6082.95,6512.05
1490,6303.551,6102.9,6568
1495,6329.833,6120,6603.1
1500,6353.549,6140.95,6643.15
1505,6376.177,6158.9,6673.5
1510,6396.668,6173.95,6700.05
1515,6416.25,6195.95,6724.1
1520,6436.784,6210.95,6754
1525,6456.05,6226.95,6774.35
1530,6475.375,6241,6803.1
1535,6495.276,6253.95,6822.1
1540,6515.21,6266,6838.15
1545,6534.371,6281,6857
1550,6553.519,6291,6884.05
1555,6571.618,6300.95,6899.25
1560,6590.074,6309.95,6914.1
1565,6609.408,6320.95,6935.05
1570,6627.906,6331.95,6953.1
1575,6646.534,6349.85,6967
1580,6665.005,6363.85,6974.35
1585,6683.45,6376.8,6986
1590,6701.116,6394.9,6995.05
1595,6719.238,6410.95,7006.05
1600,6737.71,6424.95,7022
1605,6755.794,6436.9,7034
1610,6774.962,6457.9,7044
1615,6794.243,6475.95,7053.4
1620,6813.425,6494.95,7067.2
1625,6833.353,6517,7083
1630,6853.904,6544.7,7095
1635,6875.279,6574.75,7105.05
1640,6897.987,6598.8,7118.1
1645,6919.362,6618.9,7130.15
1650,6942.413,6655.75,7142
1655,6967.33,6699.4,7154.05
1660,6993.332,6737,7173
1665,7023.023,6794.95,7189
1670,7058.466,6887.8,7204
1675,7110.832,7012,7231
1680,7127.595,7029.95,7242.05
1685,7137.03,7036,7248.05
1690,7145.227,7042,7253
1695,7152.871,7048,7258.05
1700,7159.656,7054,7264.05
1705,7166.459,7060,7269
1710,7172.918,7066,7274
1715,7179.588,7071,7278.05
1720,7186,7077.95,7284
1725,7192.294,7082.95,7290
1730,7198.321,7088,7295.05
1735,7204.475,7093,7299
1740,7210.691,7096,7303
1745,7216.71,7101,7307
1750,7222.708,7106.95,7312
1755,7228.85,7114,7316
1760,7235.612,7121,7322
1765,7242.571,7127.9,7325
1770,7249.746,7131.95,7330
1775,7257.754,7140,7335
1780,7267.187,7149.9,7341
1785,7281.48,7168,7350
1790,7291.542,7189.9,7355
1795,7299.706,7207.95,7360
1800,7307.282,7224,7363
1805,7314.521,7239.95,7366
1810,7321.59,7253,7369
1815,7328.858,7266,7372
1820,7336.758,7280,7375
1825,7346.322,7306.95,7380
1830,7351.577,7319,7384
1835,7353.695,7322,7387.05
1840,7355.449,7323,7389.05
1845,7357.01,7325,7390.05
1850,7358.447,7325.95,7392
1855,7359.835,7327,7393
