"name" "type" "expected_age" "hdi_95" "lower_95_hdr" "upper_95_hdr" "agreement" "overall_agreement" "model_agreement" "modelname"
NA "model" NA NA NA NA NA 108 108.2 "c_italy_meso"
"C_Italy_meso_start" "date" -8906.14793408027 550 -9219.5 -8669.5 NA NA NA "c_italy_meso"
"254" "date" -8329.35647142463 640 -8609.5 -7969.5 99.9 NA NA "c_italy_meso"
"255" "date" -8563.68896397221 465 -8769.5 -8304.5 104.8 NA NA "c_italy_meso"
"256" "date" -8733.64649650447 570 -9049.5 -8479.5 101.8 NA NA "c_italy_meso"
"257" "date" -5925.53874556964 225 -6019.5 -5794.5 98.3 NA NA "c_italy_meso"
"338" "date" -7089.40590876367 565 -7339.5 -6774.5 99.8 NA NA "c_italy_meso"
"339" "date" -8381.44122849399 295 -8544.5 -8249.5 99.9 NA NA "c_italy_meso"
"340" "date" -8619.61497994177 450 -8804.5 -8354.5 105.1 NA NA "c_italy_meso"
"394" "date" -6240.23621303621 335 -6409.5 -6074.5 99.9 NA NA "c_italy_meso"
"395" "date" -7656.6535053648 450 -7934.5 -7484.5 99.8 NA NA "c_italy_meso"
"396" "date" -7954.92257098576 635 -8244.5 -7609.5 100 NA NA "c_italy_meso"
"397" "date" -7656.53762376047 450 -7934.5 -7484.5 99.9 NA NA "c_italy_meso"
"398" "date" -7893.93818651494 605 -8204.5 -7599.5 100 NA NA "c_italy_meso"
"399" "date" -7893.46722511712 600 -8199.5 -7599.5 100 NA NA "c_italy_meso"
"400" "date" -7954.92662689518 635 -8244.5 -7609.5 100 NA NA "c_italy_meso"
"401" "date" -8456.96922903092 425 -8699.5 -8274.5 100.5 NA NA "c_italy_meso"
"402" "date" -8674.42775770356 685 -9039.5 -8354.5 112.1 NA NA "c_italy_meso"
"403" "date" -6308.02033858279 370 -6459.5 -6089.5 100 NA NA "c_italy_meso"
"404" "date" -8596.7831123682 620 -8909.5 -8289.5 111.4 NA NA "c_italy_meso"
"468" "date" -7945.14734203639 445 -8189.5 -7744.5 99.9 NA NA "c_italy_meso"
"469" "date" -8037.69945810665 450 -8244.5 -7794.5 100.1 NA NA "c_italy_meso"
"588" "date" -6322.13494494157 385 -6469.5 -6084.5 100 NA NA "c_italy_meso"
"609" "date" -6194.66301556928 350 -6379.5 -6029.5 100 NA NA "c_italy_meso"
"610" "date" -7022.36313570247 620 -7319.5 -6699.5 99.8 NA NA "c_italy_meso"
"611" "date" -7477.78602599145 405 -7599.5 -7194.5 100 NA NA "c_italy_meso"
"612" "date" -7884.7811732243 590 -8194.5 -7604.5 100 NA NA "c_italy_meso"
"613" "date" -8019.52332299917 525 -8269.5 -7744.5 100 NA NA "c_italy_meso"
"614" "date" -8132.66902060108 595 -8414.5 -7819.5 99.9 NA NA "c_italy_meso"
"667" "date" -7612.81704704458 335 -7809.5 -7474.5 99.8 NA NA "c_italy_meso"
"696" "date" -8712.89108644369 585 -9049.5 -8464.5 110.8 NA NA "c_italy_meso"
"C_Italy_meso_phase" "model" NA NA NA NA NA NA NA "c_italy_meso"
"C_Italy_meso_end" "date" -5833.34535474397 410 -6009.5 -5599.5 NA NA NA "c_italy_meso"
"C_Italy_meso" "model" NA NA NA NA NA NA NA "c_italy_meso"
NA "model" NA NA NA NA NA 77.6 86.7 "c_italy_neo"
"C_Italy_neo_start" "date" -5715.0137854274 80 -5754.5 -5674.5 NA NA NA "c_italy_neo"
"135" "date" -5137.42834222927 290 -5289.5 -4999.5 57.5 NA NA "c_italy_neo"
"136" "date" -5237.50996476761 410 -5464.5 -5054.5 105.3 NA NA "c_italy_neo"
"137" "date" -5653.11866782293 180 -5734.5 -5554.5 114.3 NA NA "c_italy_neo"
"144" "date" -5133.27365036386 225 -5214.5 -4989.5 34.4 NA NA "c_italy_neo"
"145" "date" -5137.54974164276 290 -5289.5 -4999.5 57.4 NA NA "c_italy_neo"
"146" "date" -5143.78954411772 290 -5294.5 -5004.5 83.2 NA NA "c_italy_neo"
"147" "date" -5152.75253884472 285 -5299.5 -5014.5 101.6 NA NA "c_italy_neo"
"148" "date" -5154.18720890845 285 -5299.5 -5014.5 102.9 NA NA "c_italy_neo"
"149" "date" -5155.76781189385 285 -5299.5 -5014.5 104.1 NA NA "c_italy_neo"
"150" "date" -5174.55121254568 295 -5319.5 -5024.5 108.3 NA NA "c_italy_neo"
"151" "date" -5256.81846211337 395 -5464.5 -5069.5 104.4 NA NA "c_italy_neo"
"152" "date" -5297.23144507976 385 -5469.5 -5084.5 102.5 NA NA "c_italy_neo"
"153" "date" -5297.45432877175 385 -5469.5 -5084.5 102.5 NA NA "c_italy_neo"
"154" "date" -5317.42406191929 390 -5474.5 -5084.5 101.7 NA NA "c_italy_neo"
"155" "date" -5372.99774033825 335 -5549.5 -5214.5 100.3 NA NA "c_italy_neo"
"156" "date" -5433.35285660499 385 -5614.5 -5229.5 100 NA NA "c_italy_neo"
"157" "date" -5525.62218303663 280 -5654.5 -5374.5 100.5 NA NA "c_italy_neo"
"163" "date" -5341.47535099715 395 -5514.5 -5119.5 100.9 NA NA "c_italy_neo"
"164" "date" -5372.92056847857 335 -5549.5 -5214.5 100.3 NA NA "c_italy_neo"
"165" "date" -5415.655703003 385 -5609.5 -5224.5 100.1 NA NA "c_italy_neo"
"168" "date" -5165.31498292543 280 -5304.5 -5024.5 107.8 NA NA "c_italy_neo"
"169" "date" -5161.9258339588 280 -5304.5 -5024.5 107.1 NA NA "c_italy_neo"
"170" "date" -5517.77700173383 285 -5654.5 -5369.5 100.3 NA NA "c_italy_neo"
"171" "date" -5520.9336827198 285 -5654.5 -5369.5 100.4 NA NA "c_italy_neo"
"172" "date" -5570.32650893516 290 -5709.5 -5419.5 102.7 NA NA "c_italy_neo"
"173" "date" -5592.86648832685 220 -5699.5 -5479.5 104.8 NA NA "c_italy_neo"
"174" "date" -5610.68918701448 230 -5714.5 -5484.5 107 NA NA "c_italy_neo"
"175" "date" -5615.73355396076 230 -5714.5 -5484.5 107.8 NA NA "c_italy_neo"
"176" "date" -5637.48333685994 235 -5724.5 -5489.5 112.7 NA NA "c_italy_neo"
"177" "date" -5652.81642615513 180 -5734.5 -5554.5 114.4 NA NA "c_italy_neo"
"178" "date" -5657.17123501947 180 -5739.5 -5559.5 112 NA NA "c_italy_neo"
"179" "date" -5662.70633104597 175 -5739.5 -5564.5 104.6 NA NA "c_italy_neo"
"208" "date" -5200.78465571227 325 -5364.5 -5039.5 107 NA NA "c_italy_neo"
"209" "date" -5277.77598288758 395 -5469.5 -5074.5 103.5 NA NA "c_italy_neo"
"236" "date" -5488.15041630303 290 -5624.5 -5334.5 100 NA NA "c_italy_neo"
"243" "date" -5338.82496698326 395 -5514.5 -5119.5 101 NA NA "c_italy_neo"
"244" "date" -5407.02346662749 385 -5604.5 -5219.5 100.1 NA NA "c_italy_neo"
"251" "date" -5170.15755322542 290 -5314.5 -5024.5 108.3 NA NA "c_italy_neo"
"252" "date" -5513.77910530158 290 -5654.5 -5364.5 100.2 NA NA "c_italy_neo"
"253" "date" -5529.4432759986 285 -5659.5 -5374.5 100.5 NA NA "c_italy_neo"
"285" "date" -5217.55904016881 415 -5459.5 -5044.5 106.3 NA NA "c_italy_neo"
"287" "date" -5143.70880573973 290 -5294.5 -5004.5 83.3 NA NA "c_italy_neo"
"337" "date" -5666.68980147883 175 -5739.5 -5564.5 94.5 NA NA "c_italy_neo"
"344" "date" -5133.20755481182 225 -5214.5 -4989.5 34.4 NA NA "c_italy_neo"
"345" "date" -5162.91191814039 280 -5304.5 -5024.5 107.4 NA NA "c_italy_neo"
"346" "date" -5242.34587340794 410 -5464.5 -5054.5 105.2 NA NA "c_italy_neo"
"347" "date" -5368.62110083162 325 -5534.5 -5209.5 100.3 NA NA "c_italy_neo"
"348" "date" -5456.14539938197 305 -5619.5 -5314.5 100 NA NA "c_italy_neo"
"416" "date" -5179.13369039039 300 -5324.5 -5024.5 108.2 NA NA "c_italy_neo"
"417" "date" -5276.68677139398 395 -5469.5 -5074.5 103.6 NA NA "c_italy_neo"
"418" "date" -5317.45002984415 390 -5474.5 -5084.5 101.6 NA NA "c_italy_neo"
"419" "date" -5317.46135229995 390 -5474.5 -5084.5 101.8 NA NA "c_italy_neo"
"420" "date" -5336.98098899549 400 -5514.5 -5114.5 101 NA NA "c_italy_neo"
"421" "date" -5376.44308575637 335 -5549.5 -5214.5 100.3 NA NA "c_italy_neo"
"422" "date" -5395.93031726849 385 -5604.5 -5219.5 100.2 NA NA "c_italy_neo"
"423" "date" -5439.65618890885 385 -5614.5 -5229.5 100 NA NA "c_italy_neo"
"424" "date" -5446.05965656133 310 -5619.5 -5309.5 100 NA NA "c_italy_neo"
"425" "date" -5449.66762292398 310 -5619.5 -5309.5 99.9 NA NA "c_italy_neo"
"426" "date" -5479.14928816288 290 -5619.5 -5329.5 100 NA NA "c_italy_neo"
"427" "date" -5496.93122760512 295 -5629.5 -5334.5 100.1 NA NA "c_italy_neo"
"428" "date" -5509.60503700888 290 -5649.5 -5359.5 100.2 NA NA "c_italy_neo"
"429" "date" -5529.32321578998 285 -5659.5 -5374.5 100.5 NA NA "c_italy_neo"
"430" "date" -5532.45912698817 285 -5659.5 -5374.5 100.7 NA NA "c_italy_neo"
"431" "date" -5536.68273788651 290 -5664.5 -5374.5 100.8 NA NA "c_italy_neo"
"432" "date" -5551.81402242557 315 -5699.5 -5384.5 101.4 NA NA "c_italy_neo"
"433" "date" -5555.04675811452 305 -5699.5 -5394.5 101.6 NA NA "c_italy_neo"
"434" "date" -5664.82596672402 170 -5734.5 -5564.5 99.5 NA NA "c_italy_neo"
"435" "date" -5665.56300524411 175 -5739.5 -5564.5 97.7 NA NA "c_italy_neo"
"436" "date" -5669.50244740714 170 -5739.5 -5569.5 84.2 NA NA "c_italy_neo"
"465" "date" -5444.0682077716 380 -5614.5 -5234.5 100 NA NA "c_italy_neo"
"466" "date" -5561.31310241237 300 -5709.5 -5409.5 102 NA NA "c_italy_neo"
"467" "date" -5636.95248097624 235 -5724.5 -5489.5 112.6 NA NA "c_italy_neo"
"495" "date" -5398.48359037189 385 -5604.5 -5219.5 100.1 NA NA "c_italy_neo"
"496" "date" -5521.81548077289 285 -5654.5 -5369.5 100.4 NA NA "c_italy_neo"
"497" "date" -5561.41969211717 300 -5709.5 -5409.5 102 NA NA "c_italy_neo"
"498" "date" -5562.10131289251 300 -5709.5 -5409.5 102 NA NA "c_italy_neo"
"500" "date" -5133.09538257688 225 -5214.5 -4989.5 34.4 NA NA "c_italy_neo"
"501" "date" -5256.66388784979 400 -5464.5 -5064.5 104.4 NA NA "c_italy_neo"
"502" "date" -5513.80984070917 290 -5654.5 -5364.5 100.3 NA NA "c_italy_neo"
"503" "date" -5529.36261251875 285 -5659.5 -5374.5 100.6 NA NA "c_italy_neo"
"504" "date" -5220.04433102822 415 -5459.5 -5044.5 106.1 NA NA "c_italy_neo"
"523" "date" -5148.12443556784 290 -5299.5 -5009.5 93.9 NA NA "c_italy_neo"
"524" "date" -5174.71754328779 295 -5319.5 -5024.5 108.3 NA NA "c_italy_neo"
"539" "date" -5169.38242182861 285 -5309.5 -5024.5 108.2 NA NA "c_italy_neo"
"540" "date" -5553.06699904842 310 -5699.5 -5389.5 101.5 NA NA "c_italy_neo"
"559" "date" -5231.1773014998 415 -5464.5 -5049.5 105.6 NA NA "c_italy_neo"
"560" "date" -5361.42159558116 340 -5549.5 -5209.5 100.5 NA NA "c_italy_neo"
"561" "date" -5191.06390996686 320 -5354.5 -5034.5 107.5 NA NA "c_italy_neo"
"585" "date" -5521.55436395819 285 -5654.5 -5369.5 100.3 NA NA "c_italy_neo"
"598" "date" -5404.58243177772 390 -5609.5 -5219.5 100.1 NA NA "c_italy_neo"
"599" "date" -5588.1272111501 220 -5699.5 -5479.5 104.3 NA NA "c_italy_neo"
"625" "date" -5567.74376700048 290 -5709.5 -5419.5 102.5 NA NA "c_italy_neo"
"626" "date" -5583.77375791471 225 -5704.5 -5479.5 103.8 NA NA "c_italy_neo"
"627" "date" -5619.48138355063 235 -5719.5 -5484.5 108.5 NA NA "c_italy_neo"
"628" "date" -5676.45613493073 120 -5744.5 -5624.5 52.7 NA NA "c_italy_neo"
"629" "date" -5143.09378342056 290 -5294.5 -5004.5 80.8 NA NA "c_italy_neo"
"630" "date" -5344.56166399481 395 -5519.5 -5124.5 100.9 NA NA "c_italy_neo"
"631" "date" -5379.80327124808 335 -5549.5 -5214.5 100.2 NA NA "c_italy_neo"
"632" "date" -5451.49044044547 305 -5614.5 -5309.5 99.9 NA NA "c_italy_neo"
"633" "date" -5451.44914172527 305 -5614.5 -5309.5 100 NA NA "c_italy_neo"
"634" "date" -5451.3735110758 305 -5614.5 -5309.5 100 NA NA "c_italy_neo"
"635" "date" -5501.33188877542 295 -5629.5 -5334.5 100.1 NA NA "c_italy_neo"
"658" "date" -5645.90578603301 190 -5729.5 -5539.5 114.6 NA NA "c_italy_neo"
"659" "date" -5666.5851557121 175 -5739.5 -5564.5 94.3 NA NA "c_italy_neo"
"663" "date" -5158.77806239657 275 -5299.5 -5024.5 106 NA NA "c_italy_neo"
"664" "date" -5191.13487566624 320 -5354.5 -5034.5 107.5 NA NA "c_italy_neo"
"665" "date" -5228.64466317591 415 -5464.5 -5049.5 105.7 NA NA "c_italy_neo"
"666" "date" -5228.68636954732 415 -5464.5 -5049.5 105.7 NA NA "c_italy_neo"
"735" "date" -5216.08896775702 415 -5459.5 -5044.5 106.2 NA NA "c_italy_neo"
"736" "date" -5237.53438054518 410 -5464.5 -5054.5 105.4 NA NA "c_italy_neo"
"737" "date" -5389.91170878667 330 -5549.5 -5219.5 100 NA NA "c_italy_neo"
"738" "date" -5152.76127867234 285 -5299.5 -5014.5 101.6 NA NA "c_italy_neo"
"797" "date" -5151.71667703898 285 -5299.5 -5014.5 100.3 NA NA "c_italy_neo"
"798" "date" -5438.64523186379 385 -5614.5 -5229.5 100 NA NA "c_italy_neo"
"799" "date" -5531.52729661394 285 -5659.5 -5374.5 100.7 NA NA "c_italy_neo"
"855" "date" -5520.23845773196 285 -5654.5 -5369.5 100.3 NA NA "c_italy_neo"
"C_Italy_neo_phase" "model" NA NA NA NA NA NA NA "c_italy_neo"
"C_Italy_neo_end" "date" -5052.48741849145 165 -5139.5 -4974.5 NA NA NA "c_italy_neo"
"C_Italy_neo" "model" NA NA NA NA NA NA NA "c_italy_neo"
NA "model" NA NA NA NA NA 91.6 93.8 "corsica_meso"
"Corsica_meso_start" "date" -8370.2021065898 585 -8624.5 -8039.5 NA NA NA "corsica_meso"
"39" "date" -7557.41141689822 395 -7744.5 -7349.5 99.8 NA NA "corsica_meso"
"113" "date" -6550.11121156786 365 -6759.5 -6394.5 100 NA NA "corsica_meso"
"130" "date" -6550.53257498796 370 -6764.5 -6394.5 99.9 NA NA "corsica_meso"
"131" "date" -6829.10742335642 450 -7049.5 -6599.5 100 NA NA "corsica_meso"
"132" "date" -8059.29519800551 500 -8284.5 -7784.5 99.7 NA NA "corsica_meso"
"133" "date" -8087.31194101681 480 -8294.5 -7814.5 99.6 NA NA "corsica_meso"
"183" "date" -6233.92726275372 325 -6394.5 -6069.5 87.2 NA NA "corsica_meso"
"184" "date" -6238.68803453043 325 -6399.5 -6074.5 88.4 NA NA "corsica_meso"
